Crop,Temperature,Humidity,Rainfall,SoilMoisture,Pest,RiskPercentage
Rice,25.618101782710436,97.53571532049581,182.99848545285127,39.93292420985183,Stem Borer,26.24
Grapes,22.33991780504304,52.90418060840997,216.5440364437338,40.05575058716044,Downy Mildew,48.32
Cotton,20.308767414437035,98.49549260809971,208.11066020010543,20.61695553391381,Pink Bollworm,27.27
Rice,22.751067647801506,65.21211214797688,131.18910790805947,31.597250932105787,Stem Borer,31.65
Potato,29.17779342083569,56.97469303260209,73.03616213380454,28.318092164684586,Late Blight,38.24
Potato,31.777639420895206,59.98368910791799,128.5586096034029,39.620728443102124,Late Blight,21.86
Cotton,29.113172778521573,58.526206184364575,16.262898246319878,57.44427686266666,Pink Bollworm,58.63
Potato,32.125960221746915,65.23068845866854,24.418028501595966,44.211651325607846,Late Blight,37.61
Soybean,21.83057352267168,74.75884550556351,8.597130278804599,55.4660201039391,Aphids,30.35
Potato,29.937834265309732,65.58555380447055,130.0170052944527,37.33551396716398,Late Blight,27.39
Soybean,34.54376941646838,88.75664116805572,234.87473539104727,54.74136752138244,Aphids,43.92
Grapes,33.82811352534675,54.424625102595975,48.9957156047863,12.261364445526903,Downy Mildew,33.01
Grapes,25.83015934534223,63.567451588694794,207.18437728798233,27.837666334679465,Downy Mildew,31.24
Grapes,28.14044124737373,57.04621124873813,200.54924518850993,13.72753218398854,Downy Mildew,59.48
Potato,31.58367153944986,59.93578407670862,1.3805292809005998,50.77307142274171,Late Blight,48.27
Soybean,30.93510752061481,88.56351733429729,18.51116293352259,27.92328642721363,Aphids,24.63
Rice,32.946551388133905,81.1649063413779,82.7245062131623,13.177917514301182,Stem Borer,77.77
Soybean,24.877749830401207,86.4803089169032,159.38936783880328,54.36063712881633,Aphids,38.89
Rice,21.793913689074525,85.66223936114974,190.19626215422437,38.063859878474815,Stem Borer,50.84
Potato,27.40693394546586,76.1366414690997,106.88525458963741,11.27095633720476,Late Blight,24.32
Soybean,20.471437785301013,81.82052056318902,78.58899526908166,35.42853455823514,Aphids,56.3
Potato,23.739383437233123,70.51914615178148,188.88778463576216,21.43990827458112,Late Blight,23.08
Rice,24.34627179370652,58.06106436270022,232.42441308564327,50.40601897822085,Stem Borer,45.34
Soybean,33.07190885281577,90.18360384495573,46.64251472150896,54.627949924498886,Aphids,41.57
Soybean,32.111602327460936,94.80456499617466,79.50086874296596,15.502596226383838,Aphids,29.12
Rice,26.406616829393844,90.90073829612466,215.18264581408587,10.347606526559535,Stem Borer,40.43
Rice,26.261165047231685,61.105390523536514,29.9663418334207,26.8807585701814,Stem Borer,57.72
Soybean,24.848043980311328,75.9395310871683,175.75473972379447,28.1814801189647,Aphids,58.87
Cotton,34.43670942413167,62.58911479126821,124.31212647309636,25.043915490838483,Pink Bollworm,31.39
Grapes,20.553304210317993,80.47821669899484,125.66975580721537,12.573937562499466,Downy Mildew,31.15
Potato,33.623988289499806,61.978094533348624,36.22371802280577,34.472638013878154,Late Blight,59.43
Cotton,23.630829072672505,83.60677737029393,190.4049038321794,21.881877199619986,Pink Bollworm,49.13
Cotton,25.516746990788796,81.61529152967897,158.38242769022366,36.788734203737924,Pink Bollworm,23.61
Rice,32.52953743383857,66.0390032485868,46.629627599963555,12.038757077738197,Stem Borer,43.64
Rice,30.163465427634236,50.829391446392805,128.02326457482025,21.324788759896897,Stem Borer,45.81
Grapes,22.61549643507487,84.5468869051233,96.68383657513435,56.836499436836725,Downy Mildew,25.5
Soybean,25.115995265753877,55.67367606202946,231.1734045696407,53.86696766904905,Aphids,30.32
Potato,29.899760690512686,90.8611100100608,138.80020289986558,36.48252891780032,Late Blight,29.67
Soybean,21.396541517088487,94.86078789766634,225.1045142908326,41.65507286366339,Aphids,33.56
Cotton,25.238143619189913,86.29778394351197,224.27756498814426,54.354321213255865,Pink Bollworm,51.2
Soybean,29.630474692314316,54.206998249752445,40.40717852365344,54.927709426353964,Aphids,44.26
Rice,20.137955774249445,55.073577143301605,165.87544227701395,10.253079192310935,Stem Borer,26.43
Potato,28.231006840498793,84.59475988463467,162.99031487565014,21.213465473027988,Late Blight,48.49
Cotton,23.558736312452,66.26998490796339,186.62285127950602,42.48164495236073,Pink Bollworm,53.97
Cotton,29.86419338450515,78.41543016677358,23.418691957023118,28.385790152971676,Pink Bollworm,76.63
Potato,23.659844650686253,98.65052773762227,98.2744311666901,54.602327758855665,Late Blight,45.25
Grapes,31.922169553124725,75.1318546552596,144.22597115658976,34.625884690943195,Downy Mildew,27.81
Potato,30.83678172892258,64.03861812204279,6.078991607863459,42.27361479535839,Late Blight,27.08
Potato,34.106878765293715,97.69642885012937,228.71609755511213,28.50793501277222,Late Blight,20.62
Rice,33.92477843881588,71.40920741586572,241.6637047609174,58.18099885446264,Stem Borer,54.12
Soybean,24.416733381043784,69.25488643009626,212.78416787921424,25.846100257813884,Aphids,26.78
Potato,28.352018936875254,96.80773870803904,174.00744916874325,38.50305850446825,Late Blight,23.89
Soybean,29.225108400487546,99.50269250521316,35.02100380913101,35.91648261818683,Aphids,55.09
Grapes,31.111529266313067,84.8507870497634,175.6210209967773,27.97455756098776,Downy Mildew,31.74
Grapes,32.140417332177705,90.50566973395904,216.76807964502592,55.66202762782356,Downy Mildew,40.45
Cotton,27.522744420307994,89.91475894833876,162.4909826944413,45.098343862885166,Pink Bollworm,51.83
Rice,33.350080127263496,66.89975784257679,93.89573815998601,14.69909699204345,Stem Borer,43.13
Rice,20.53913410695113,73.27990090662301,135.66115867689416,24.32706260641422,Stem Borer,43.63
Rice,20.457503749085742,51.86740943746072,205.65014016491457,28.009532070563143,Stem Borer,25.08
Rice,27.833648900822066,88.49967765493054,53.9552568742108,41.14452379095002,Stem Borer,23.41
Cotton,20.775225817529115,76.5677315784074,135.15878040252662,41.87149507491033,Pink Bollworm,49.04
Grapes,34.63778119193802,75.81501741505977,80.7391182353115,49.759309738435185,Downy Mildew,30.83
Soybean,26.584571310584543,53.922819067113295,6.337685853864378,58.132420733896254,Aphids,53.44
Grapes,30.43961309140547,70.44764722071349,43.32358001771144,17.8218521335543,Downy Mildew,30.01
Cotton,28.238399970591807,85.72979613500311,165.0493441794328,23.996694847297142,Pink Bollworm,58.19
Grapes,31.068453750436525,77.71770262557004,152.93018655858805,30.980003121389494,Downy Mildew,29.91
Grapes,25.339590179768923,87.89230552321845,3.598372157438967,15.803632025345813,Downy Mildew,21.84
Grapes,20.61093203478455,92.77302920055035,175.9144648450059,33.70869145436626,Downy Mildew,23.91
Grapes,27.374238126752484,73.67358853902829,43.300467477503794,31.692582461898652,Downy Mildew,35.94
Rice,29.237751470783245,81.75468254338219,11.326002443011129,28.73063073132356,Stem Borer,45.03
Grapes,27.547043878701317,92.82449205941612,164.67340790473625,18.146721354071484,Downy Mildew,22.82
Cotton,29.636289173094735,51.32556552708109,146.44389531836583,57.01151207124788,Pink Bollworm,43.02
Soybean,25.822548893097828,82.16441092211767,114.56322262287915,37.280839465796745,Aphids,57.66
Grapes,25.791539567011615,98.05952819119571,226.33766048901595,19.78955673946482,Downy Mildew,22.77
Cotton,21.5116700206614,50.91109128257749,23.6107401889821,44.150338670817845,Pink Bollworm,22.85
Grapes,24.78463445440642,92.24376554847274,5.817983933956467,50.72342412944679,Downy Mildew,31.27
Potato,21.772472414324845,84.83685826820754,157.235711694971,53.873600676352645,Late Blight,49.4
Rice,32.05221395577273,64.10172862856533,44.3598859449307,47.53073758204292,Stem Borer,52.27
Cotton,34.8575771300101,70.63088384557133,93.00452144819579,48.82064803709984,Pink Bollworm,33.63
Potato,33.96135988405347,92.9206375921506,107.24850684375458,47.54355338957487,Late Blight,50.18
Rice,21.54685803253899,95.12764533397834,126.31309311196429,51.322873305387084,Stem Borer,32.8
Potato,33.432848427443005,69.46008393670816,2.70941287007459,55.26909882096318,Late Blight,23.65
Grapes,24.789704563856223,97.50309835254025,237.65178673438902,38.671894406164306,Downy Mildew,45.27
Soybean,26.726682829674797,64.66053858490322,82.16613634247899,43.62592280385192,Aphids,50.09
Potato,31.873685655887726,89.48090713972769,22.80152576217259,34.72101523512907,Late Blight,22.3
Rice,28.242933234856032,72.07652506866884,221.92604568957495,27.545750627603933,Stem Borer,24.68
Cotton,22.144875230792536,88.07553158587362,154.55451582906525,15.056133806139513,Pink Bollworm,23.36
Potato,30.5145369718868,53.638150318209675,205.46501482258904,45.31211135782481,Late Blight,23.25
Grapes,21.272565711277878,99.33197892505876,93.56769893903008,28.532107353344546,Downy Mildew,52.51
Potato,34.208728660757885,99.30005319114355,188.3445463147354,28.81297927654579,Late Blight,23.34
Cotton,31.65720373891155,77.92021248679025,106.05550231174406,55.3177192547368,Pink Bollworm,24.45
Cotton,27.389376564362887,50.567682238370956,117.16516049853156,12.815163784091867,Pink Bollworm,24.75
Soybean,21.762893701656573,82.46051510580318,186.51121981635583,39.16843825485798,Aphids,58.49
Soybean,25.62305869285556,64.28560431409304,217.14978204736508,21.17979192597263,Aphids,58.53
Rice,20.182317120347246,98.49394133538195,10.78997798764403,54.557155684903556,Stem Borer,41.11
Grapes,34.894471941789504,53.68982823676994,138.4635711003302,58.46512678095495,Downy Mildew,40.92
Potato,29.440979572028937,84.78743444923086,113.6352661919433,41.377904004203174,Late Blight,43.37
Soybean,33.51737015736484,52.272319017072896,70.24079739805758,57.520574203827934,Aphids,55.61
